Section,#,Feature / Requirement,Status,Version Delivered,Notes / Limitations
Feature D,D6,Wall accessories — Tierod length = wall_thickness + 300mm (standard sizes),Done,v1.5,Rounded to nearest standard size. Note shown: ESTIMATED — user must verify.
Feature D,D7,Wall accessories — Wing Nuts 2 per tierod,Done,v1.5,Correct.
Feature D,D8,Wall accessories — PVC Cones 2 per tierod,Done,v1.5,Correct.
Feature D,D9,High-wall warning (>4500mm) flagged for engineer review,Done,v1.5,Warning shown in UI BOQ tab and printed in PDF export.
Feature E,E1,PDF Quotation — Nova-branded (blue theme + logo),Done,v1.3,Nova blue header + Nova Formworks logo + RLAI branding.
Feature E,E2,PDF — Client info / project header,Done,v1.3,Project name / client / address / IPO no. / date on cover page.
Feature E,E3,PDF — Per-element panel table,Done,v1.3,One section per element with panel size breakdown.
Feature E,E4,PDF — Consolidated summary,Done,v1.3,Total panels / area / sets across all elements.
Feature E,E5,PDF — Accessories section,Done,v1.5,PIN and WALLER+TIEROD tables per element.
Feature E,E6,PDF — Cost breakdown with GST,Done,v1.3,"Panel cost + GST 18% (toggle) + freight = grand total."
Feature E,E7,Excel BOQ — Matches Nova COLUMN sheet format,Done,v1.3,"panel sizes, sets, heights, summary table with formulas, Grand Total."
Feature E,E8,Excel — Days BOQ Sheet (panel reuse/deployment schedule),Done (estimate),v1.3,"Day-1 / Day-2 / Day-3 equal 1/3 split estimate. Note: labelled as ESTIMATE in sheet — actual deployment schedule requires site planning input."
Feature E,E9,Panel Layout Drawing — Column unrolled strip view,Done,v1.4,matplotlib-based unrolled 4-face strip + plan cross-section. Exported as PNG.
Feature E,E10,Panel Layout Drawing — Wall elevation with waller/tierod markers,Done,v1.4,"Elevation view with red waller lines + blue tierod markers. Exported as PNG/embedded in UI."
Feature F,F1,Add element manually,Done,v1.1,Add Element form in Elements tab.
Feature F,F2,Edit element manually (dimensions / label / type),Done,v1.1 + v1.18,"Edit in Elements tab. Edit Panels in BOQ tab (v1.18)."
Feature F,F3,Delete element,Done,v1.18,Delete Element button in BOQ tab (v1.18). Syncs elements + BOQs + accessories.
Feature F,F4,Adjust panel height,Done,v1.1,"Panel Height combo (3200 / 2470 / 1228 / 3000mm). For Nova drawings: only area updates, quantities preserved from drawing."
Feature F,F5,Adjust number of sets,Done,v1.1,num_sets spinner in BOQ tab.
Feature F,F6,Quick text input ("5 columns 300×450 height 3000"),Done,v1.1,Text parser in Elements tab.
Feature F,F7,All rates configurable (panel/sqm / waller/rm / tierod/rm / props/unit),Done,v1.3,Rate fields in BOQ Results tab.
Feature F,F8,GST toggle,Done,v1.1,GST checkbox in BOQ Results tab.
Feature F,F9,Freight amount input,Done,v1.1,Freight spinner in BOQ Results tab.
Feature F,F10,Version history via Git (developer level),Done,ongoing,Full git history maintained. Not exposed in UI — developer access only.
Feature G,G1,Floor label per element (GF / 1F / 2F / Terrace etc.),Done,v1.2,"Floor label field on each element. DXF parser reads floor prefix (1F, 2F, TF, RF, BF, LG, PH, B1–B9) from element label."
Feature G,G2,Different column sizes per floor tracked separately,Done,v1.2,Each element stores label + floor — elements at same floor can have different dimensions.
Feature G,G3,BOQ generated floor-wise or full-building,Partial,v1.2,"All elements always included in BOQ. No floor-wise filter/split in UI. User can manually delete elements not needed, or filter by naming convention."
PDF Import,—,Nova box-culvert PDF import (BOX CULVERT / UPPER PIPE / BOTTOM PIPE / BOTTOM PANEL),Done,v1.19,"parse_nova_pdf() reads panel labels from CAD-exported PDFs. Same Replace/Add/Cancel flow as DXF import. Quantities preserved; _is_nova_drawing=True guard active."
Security,—,api_config.json — no API keys in distributed ZIP,Done,all versions,"File always contains only {server_url: '', central_db_path: ''}. Verified on every ZIP build."
Security,—,Drawing data processed locally — not sent to third parties,Done,all versions,100% offline. No external calls from core app.
Security,—,Audit trail — all BOQ actions logged with user + timestamp,Done,v1.2,auth_manager.log_action() called on every import / BOQ compute / export / delete.
Deployment,—,Windows installer (install_windows_nova_updatedbranding.bat),Done,v1.18,Admin privilege check. Creates venv + installs deps + desktop shortcut.
Deployment,—,Application launcher (run_novoform.bat),Done,v1.18,Double-click launcher. Checks venv before starting.
Deployment,—,Cloud-based deployment (optional add-on),Not Done,—,"Not in Phase 1 scope. Optional add-on: ₹1,50,000 one-time + ₹15,000/month."
Deployment,—,Mobile app (optional add-on),Not Done,—,"Not in Phase 1 scope. Optional add-on: ₹1,00,000 one-time."
